EQID,Mw,SoF,Dip,RJB,VS30,PGV_geo
549,4.4,S,86.0,11.82148902,348.0,0.590158234
355,4.2,S,85.0,69.3701301,459.0,0.029058108
596,4.3,S,67.0,165.0764095,315.0,0.02922504
409,3.9,N,58.0,60.55058392,696.0,0.012162731
8455,4.0,N,45.0,106.0,131.0,0.033919952
723,4.1,N,54.0,127.7842431,219.0,0.022490865
446,3.9,S,57.0,75.3388704,907.0,0.010081555
214,3.9,R,74.0,111.3910229,514.0,0.005225349
8757,3.9,S,90.0,118.0,452.0,0.006640388
437,3.8,N,43.0,18.72774809,207.0,0.221456936
76,4.4,N,26.0,84.59300952,267.0,0.190342087
149,3.9,S,89.0,20.30006099,403.0,0.323836142
241,3.9,N,69.0,94.9324872,539.0,0.004423268
572,4.0,S,62.0,93.27860764,695.0,0.02272221
292,4.3,S,60.0,74.45231213,298.0,0.062845747
210,3.8,N,39.0,49.67736862,251.0,0.042083785
392,4.1,N,37.0,57.50115545,219.0,0.09806779
291,4.0,S,63.0,131.0194834,397.0,0.007127316
9231,4.0,R,36.0,32.0,715.0,0.016573805
287,3.6,S,53.0,42.41902725,758.0,0.0489525
241,3.9,N,69.0,82.09154335,870.0,0.005069663
291,4.0,S,63.0,61.97117131,300.0,0.038598663
513,4.2,S,66.0,87.23106691,345.0,0.017642607
383,4.1,N,19.0,67.11476747,629.0,0.027419224
174,3.7,S,77.0,74.45191325,688.0,0.019464672
719,4.2,N,55.0,79.48036929,307.0,0.044024338
414,4.1,S,66.0,30.81410282,732.0,0.021857019
312,4.3,N,42.0,70.80814945,429.0,0.095837781
563,4.2,S,74.0,55.52308613,243.0,0.118769769
139,3.7,S,68.0,51.20028467,430.0,0.010628801
297,3.8,N,74.0,11.69625077,804.0,0.089774775
596,4.3,S,67.0,189.6973513,721.0,0.008386794
634,4.1,N,65.0,77.568178,986.0,0.051039368
362,4.3,N,55.0,191.6616585,549.0,0.007966861
250,4.0,N,43.0,116.7870315,469.0,0.015311119
589,4.2,S,80.0,55.14925164,907.0,0.020070012
728,4.1,N,55.0,80.57097722,836.0,0.068827034
552,4.1,S,79.0,138.1019719,188.0,0.073622924
318,4.1,N,23.0,83.14630487,193.0,0.033178107
281,3.6,S,86.0,56.98980595,390.0,0.022787427
512,4.1,N,52.0,52.75222879,462.0,0.111655201
350,4.0,N,39.0,30.07846807,238.0,0.154164961
650,4.0,N,55.0,65.32822449,558.0,0.013822831
262,4.0,N,58.0,134.4071471,304.0,0.034125068
370,4.0,N,43.0,38.75626361,328.0,0.047837933
378,4.2,N,39.0,76.01252334,745.0,0.049501284
221,3.9,S,65.0,33.55448919,306.0,0.131437025
467,4.0,N,36.0,19.52227028,732.0,0.065359891
180,4.1,S,81.0,28.5719455,306.0,0.054696352
196,4.3,S,90.0,186.500606,519.0,0.002233837
676,4.2,R,48.0,42.51692632,315.0,0.032315094
